year,spatial_fold,strategy,budget,seed,occupied_spatial_blocks,occupied_month_blocks,months_covered,fraction_with_historical_weight,mean_historical_weight
2005,2,spatial_coverage,1000,17,579,1000,12,0.114,20.399
2005,2,historical_density,1000,18,314,682,12,1.0,682.105
2005,2,random,1000,18,550,952,12,0.114,6.445
2005,2,spatial_coverage,1000,18,589,1000,12,0.08,11.074
2005,2,historical_density,1000,19,337,686,12,1.0,655.74
2005,2,random,1000,19,548,950,12,0.104,4.321
2005,2,spatial_coverage,1000,19,591,1000,12,0.103,8.392
2005,2,historical_density,5000,0,518,1927,12,1.0,344.192
2005,2,random,5000,0,785,3813,12,0.116,7.5204
2005,2,spatial_coverage,5000,0,824,5000,12,0.1002,7.7214
2005,2,historical_density,5000,1,523,1927,12,1.0,347.8988
2005,2,random,5000,1,780,3869,12,0.1156,7.0336
2005,2,spatial_coverage,5000,1,824,5000,12,0.0958,10.3764
2005,2,historical_density,5000,2,524,1884,12,1.0,349.2354
2005,2,random,5000,2,784,3824,12,0.1152,9.3868
2005,2,spatial_coverage,5000,2,824,5000,12,0.1008,9.3262
2005,2,historical_density,5000,3,523,1905,12,1.0,343.9836
2005,2,random,5000,3,783,3816,12,0.1138,8.1184
2005,2,spatial_coverage,5000,3,823,5000,12,0.0972,8.4212
2005,2,historical_density,5000,4,518,1925,12,1.0,343.6688
2005,2,random,5000,4,792,3811,12,0.1124,8.0814
2005,2,spatial_coverage,5000,4,824,5000,12,0.1016,5.918
2005,2,historical_density,5000,5,514,1918,12,1.0,347.1094
2005,2,random,5000,5,780,3787,12,0.1096,7.3122
2005,2,spatial_coverage,5000,5,824,5000,12,0.105,11.179
2005,2,historical_density,5000,6,515,1919,12,1.0,347.7374
2005,2,random,5000,6,791,3818,12,0.1146,9.4194
2005,2,spatial_coverage,5000,6,824,5000,12,0.0968,8.4062
2005,2,historical_density,5000,7,516,1931,12,1.0,345.8172
2005,2,random,5000,7,785,3812,12,0.1132,5.365
2005,2,spatial_coverage,5000,7,823,5000,12,0.1014,7.1548
2005,2,historical_density,5000,8,508,1883,12,1.0,348.7574
2005,2,random,5000,8,790,3795,12,0.1146,8.1462
2005,2,spatial_coverage,5000,8,824,5000,12,0.1008,7.9518
2005,2,historical_density,5000,9,519,1917,12,1.0,343.4508
2005,2,random,5000,9,778,3814,12,0.1166,9.2674
2005,2,spatial_coverage,5000,9,824,5000,12,0.0982,9.4992
2005,2,historical_density,5000,10,512,1883,12,1.0,346.7256
2005,2,random,5000,10,783,3822,12,0.1092,9.082
2005,2,spatial_coverage,5000,10,824,5000,12,0.1,7.3238
2005,2,historical_density,5000,11,511,1900,12,1.0,346.9348
2005,2,random,5000,11,777,3848,12,0.1174,7.1128
2005,2,spatial_coverage,5000,11,824,5000,12,0.1014,8.0662
2005,2,historical_density,5000,12,518,1895,12,1.0,347.2804
2005,2,random,5000,12,786,3798,12,0.1122,8.557
2005,2,spatial_coverage,5000,12,824,5000,12,0.0994,8.3794
