regime,strategy,budget_fraction,n_development,n_train,n_test,rmse,mae,bias,seed
spatial_fold_1,coverage,0.2,38091,7619,11281,23.573967119209517,15.880602704755672,-0.4225076914363859,18
spatial_fold_1,random,0.2,38091,7619,11281,24.752906649053045,16.418394082538537,-2.1379111282216154,18
spatial_fold_1,coverage,0.2,38091,7619,11281,23.710410201511444,16.105881404855136,-0.4144466927255805,19
spatial_fold_1,random,0.2,38091,7619,11281,23.39489135123009,15.694858728586182,-0.078496044665705,19
spatial_fold_2,coverage,0.2,39582,7917,9790,21.663182652873843,14.268424200165455,-3.0199907124180507,0
spatial_fold_2,random,0.2,39582,7917,9790,21.71710257211369,14.428094374177077,-3.5837327340778478,0
spatial_fold_2,coverage,0.2,39582,7917,9790,21.656053331863685,14.49378569438052,-3.933705057507528,1
spatial_fold_2,random,0.2,39582,7917,9790,21.655209128877875,14.322491283195706,-3.283761783912323,1
spatial_fold_2,coverage,0.2,39582,7917,9790,20.82569553549877,13.913921098833526,-2.807065494148503,2
spatial_fold_2,random,0.2,39582,7917,9790,21.392956807251856,14.10221898230024,-3.611643149458344,2
spatial_fold_2,coverage,0.2,39582,7917,9790,21.48601985664671,14.215547415822606,-1.8902803617764208,3
spatial_fold_2,random,0.2,39582,7917,9790,21.18268325018084,14.08780016367628,-3.94136333144782,3
spatial_fold_2,coverage,0.2,39582,7917,9790,21.708586294245663,14.21153319708009,-2.950755233983524,4
spatial_fold_2,random,0.2,39582,7917,9790,21.441376719355976,14.576334343499404,-4.095794637896975,4
spatial_fold_2,coverage,0.2,39582,7917,9790,21.47201314049325,13.990778482228766,-2.7625568029548653,5
spatial_fold_2,random,0.2,39582,7917,9790,21.218212253559425,14.171608902358722,-2.914848139399089,5
spatial_fold_2,coverage,0.2,39582,7917,9790,21.51519022768433,14.335830876774589,-3.61392670976512,6
spatial_fold_2,random,0.2,39582,7917,9790,21.96395504515601,14.79459420584892,-4.191630895191883,6
spatial_fold_2,coverage,0.2,39582,7917,9790,21.63817329766229,14.010711651774855,-2.5736433587690115,7
spatial_fold_2,random,0.2,39582,7917,9790,22.38724540861732,14.936908054475849,-4.8123229828277365,7
spatial_fold_2,coverage,0.2,39582,7917,9790,21.853290897486545,14.281326862939604,-3.0087987504798064,8
spatial_fold_2,random,0.2,39582,7917,9790,21.974544370677737,14.367411575407589,-3.256548024324612,8
spatial_fold_2,coverage,0.2,39582,7917,9790,21.68989120816408,14.538156214099168,-4.234238622293868,9
spatial_fold_2,random,0.2,39582,7917,9790,21.27134452714852,14.269933080262492,-3.86670132238262,9
spatial_fold_2,coverage,0.2,39582,7917,9790,21.951316945911103,14.218790451798954,-3.0300866976950958,10
spatial_fold_2,random,0.2,39582,7917,9790,21.398209824572348,14.253889629919048,-3.5765975291326884,10
spatial_fold_2,coverage,0.2,39582,7917,9790,21.34170381060296,14.096587612246214,-2.7731885801528504,11
spatial_fold_2,random,0.2,39582,7917,9790,21.34416703838233,14.14915161900459,-2.6382988545657584,11
