validation_scheme,year,spatial_fold,budget,domain,weighting,mean_bias_historical_density,mean_bias_random,mean_mae_historical_density,mean_mae_random,mean_rmse_historical_density,mean_rmse_random,mean_bias_difference,mean_mae_difference,mean_rmse_difference
hidden_cells,2014,-1,5000,60_to_90n,spherical_cell_area,-35.734517412032055,0.24821787930360167,46.2107027954639,18.201056467836203,74.38674605205937,39.420822473316754,-35.98273529133566,28.0096463276277,34.96592357874261
hidden_cells,2014,-1,5000,global,equal_cell,-5.1833192898547225,0.10055865094777712,16.643840260428476,10.985996004771057,34.392152426824495,23.705525385476705,-5.283877940802499,5.6578442556574196,10.68662704134779
hidden_cells,2014,-1,5000,global,spherical_cell_area,-2.035603095241357,0.06119917307906515,13.90160667979455,10.551506152258751,29.40766734216374,22.944795842560833,-2.096802268320422,3.3501005275357993,6.462871499602908
hidden_cells,2014,-1,5000,south_of_60n,equal_cell,-1.0525002073956111,0.09676317900961147,12.794715814938424,10.36703088838258,26.154832203314395,21.94950451767455,-1.1492633864052226,2.4276849265558447,4.205327685639844
hidden_cells,2014,-1,5000,south_of_60n,spherical_cell_area,-0.7134353158014366,0.053861544774540845,12.633968041190666,10.251378116697035,26.096331412045753,22.046544819500344,-0.7672968605759775,2.3825899244936313,4.049786592545409
whole_blocks,2005,0,5000,60_to_90n,equal_cell,-43.41028489485036,-0.9412882935266811,51.332664057603324,21.836752818370364,77.49860421955655,48.07698559944885,-42.46899660132368,29.49591123923296,29.421618620107708
whole_blocks,2005,0,5000,60_to_90n,spherical_cell_area,-38.44474250528426,-0.25045273418366254,47.21618455950031,25.119256187458987,77.75169997697044,53.15334232709372,-38.1942897711006,22.096928372041326,24.598357649876725
whole_blocks,2005,0,5000,global,equal_cell,-4.846604710114148,0.6426126416014897,17.602641155902344,13.098274810904917,33.02855072344445,25.85785066272677,-5.489217351715638,4.504366344997427,7.170700060717678
whole_blocks,2005,0,5000,global,spherical_cell_area,-1.260562549342532,0.8307135862555217,14.334504773046627,12.158177634519994,26.065234823166207,23.111105184421632,-2.091276135598054,2.1763271385266325,2.9541296387445755
whole_blocks,2005,0,5000,south_of_60n,equal_cell,0.1319810606028891,0.8470948544006637,13.248082377800163,11.97013397846147,21.34576182108528,21.273580643669266,-0.7151137937977745,1.2779483993386922,0.07218117741601304
whole_blocks,2005,0,5000,south_of_60n,spherical_cell_area,0.3463799017043659,0.877437006242582,12.913498119862657,11.59805482522988,21.14400544399893,20.804443160754197,-0.5310571045382162,1.315443294632777,0.3395622832447316
whole_blocks,2005,1,5000,60_to_90n,equal_cell,-43.95788671217469,3.0795259818121172,51.872290002491376,19.864030678510396,74.40893163132166,37.71336029107569,-47.03741269398681,32.00825932398098,36.695571340245976
whole_blocks,2005,1,5000,60_to_90n,spherical_cell_area,-35.57148230863218,5.6156779069350105,46.13484813331432,22.564445531001013,73.34846576936019,41.30904479677807,-41.18716021556719,23.570402602313308,32.03942097258212
whole_blocks,2005,1,5000,global,equal_cell,-3.651627213967159,0.6724207642119725,16.124942176352263,11.65576708041506,28.858136522968902,20.677362498208964,-4.324047978179132,4.469175095937203,8.180774024759938
whole_blocks,2005,1,5000,global,spherical_cell_area,-0.4860581699910149,0.834493546387989,13.181827421792741,10.998573174730945,22.15708457926165,18.760509725800173,-1.320551716379004,2.1832542470617966,3.396574853461477
whole_blocks,2005,1,5000,south_of_60n,equal_cell,0.4577861085191944,0.4270050304529926,12.480331407972168,10.818895879652985,18.771104664075352,17.739535876012738,0.030781078066201784,1.661435528319183,1.0315687880626143
whole_blocks,2005,1,5000,south_of_60n,spherical_cell_area,0.6082495737005793,0.6853693103779297,12.15402893772276,10.637835803222995,18.38590256322326,17.43871108931448,-0.07711973667735039,1.5161931344997654,0.9471914739087808
whole_blocks,2005,2,5000,60_to_90n,equal_cell,-36.75313774087298,-0.6412456246060382,47.07574858247931,20.42543404588934,72.14103750543545,43.73787473233497,-36.111892116266944,26.650314536589967,28.403162773100476
whole_blocks,2005,2,5000,60_to_90n,spherical_cell_area,-29.382950643936244,-1.2632341585177216,42.032976397402365,21.348451251564075,71.12487972722114,47.317273008625875,-28.11971648541852,20.68452514583829,23.807606718595267
whole_blocks,2005,2,5000,global,equal_cell,-5.483840138624849,0.15810641625436372,18.860052248985465,13.78220647179046,42.067833744848905,34.78126208349667,-5.641946554879213,5.077845777195005,7.286571661352234
whole_blocks,2005,2,5000,global,spherical_cell_area,-1.4879030927664119,0.6309438952264421,15.79640568927123,13.010179843571942,36.12859263975857,32.19658347253323,-2.118846987992854,2.7862258456992883,3.9320091672253454
whole_blocks,2005,2,5000,south_of_60n,equal_cell,-1.1777608878124668,0.2681847838924023,14.974482893562989,12.867370942731592,35.980283661378635,33.32675761898817,-1.445945671704869,2.1071119508313974,2.6535260423904674
whole_blocks,2005,2,5000,south_of_60n,spherical_cell_area,-0.20326905819992813,0.7181753505915938,14.58814850239428,12.6261823895253,33.64266937695787,31.311440541065224,-0.9214444087915219,1.9619661128689803,2.331228835892645
