validation_scheme,year,spatial_fold,budget,domain,weighting,comparison,random_bias,comparator_bias,difference_bias,random_mae,comparator_mae,difference_mae,random_rmse,comparator_rmse,difference_rmse
whole_blocks_latitude_cap,2005,3,5000,south_of_60n,equal_cell,historical_density_minus_random,0.16713049390324222,-1.2831834422804995,-1.4503139361837418,11.41153221653367,14.098820661913674,2.6872884453800037,41.46925666566968,45.940149885659125,4.470893219989442
whole_blocks_latitude_cap,2005,3,5000,south_of_60n,equal_cell,spatial_coverage_minus_random,0.16713049390324222,-0.07852079175080781,-0.24565128565405003,11.41153221653367,11.44103704069909,0.029504824165419663,41.46925666566968,38.47796351368946,-2.991293151980223
whole_blocks_latitude_cap,2005,3,5000,south_of_60n,spherical_cell_area,historical_density_minus_random,0.21429482300660707,-0.7508629165843114,-0.9651577395909184,11.039805864837799,13.395494754957753,2.3556888901199535,37.652494342683305,41.584935319168636,3.9324409764853314
whole_blocks_latitude_cap,2005,3,5000,south_of_60n,spherical_cell_area,spatial_coverage_minus_random,0.21429482300660707,0.02780478350608371,-0.18649003950052337,11.039805864837799,11.100552643274197,0.060746778436397975,37.652494342683305,34.98607629749139,-2.666418045191918
whole_blocks_latitude_cap,2005,4,5000,global,equal_cell,historical_density_minus_random,-0.9146051754318888,-1.648173571564626,-0.7335683961327372,12.081136229727687,13.239260315541117,1.15812408581343,20.169099824218456,21.039002050721937,0.8699022265034806
whole_blocks_latitude_cap,2005,4,5000,global,equal_cell,spatial_coverage_minus_random,-0.9146051754318888,-1.1250765362521578,-0.21047136082026896,12.081136229727687,12.720969569680618,0.639833339952931,20.169099824218456,20.62672820942963,0.4576283852111729
whole_blocks_latitude_cap,2005,4,5000,global,spherical_cell_area,historical_density_minus_random,-1.4644636026265012,-1.6978539375480648,-0.23339033492156358,11.656371196809678,12.680312356958911,1.0239411601492332,19.66956849516918,20.572696080528637,0.9031275853594565
whole_blocks_latitude_cap,2005,4,5000,global,spherical_cell_area,spatial_coverage_minus_random,-1.4644636026265012,-1.5344120632984086,-0.06994846067190741,11.656371196809678,12.353423962447701,0.6970527656380234,19.66956849516918,20.20672666016295,0.5371581649937696
whole_blocks_latitude_cap,2005,4,5000,south_of_60n,equal_cell,historical_density_minus_random,-0.9146051754318888,-1.648173571564626,-0.7335683961327372,12.081136229727687,13.239260315541117,1.15812408581343,20.169099824218456,21.039002050721937,0.8699022265034806
whole_blocks_latitude_cap,2005,4,5000,south_of_60n,equal_cell,spatial_coverage_minus_random,-0.9146051754318888,-1.1250765362521578,-0.21047136082026896,12.081136229727687,12.720969569680618,0.639833339952931,20.169099824218456,20.62672820942963,0.4576283852111729
