validation_scheme,budget,comparison,metric,n_units,n_years,unit_definition,mean_random_baseline,mean_comparator_value,mean_difference,median_difference,q25_difference,q75_difference,minimum_difference,maximum_difference,units_below_zero,units_above_zero,mean_relative_error_change_percent
whole_spatial_blocks,5000,historical_density_minus_random,bias,15,3,year-fold,0.10350693529749053,-4.850685123557378,-4.954192058854869,-5.25666850322602,-5.613368941317912,-4.316134910920136,-6.188400457574339,-3.357865911504901,15,0,
whole_spatial_blocks,5000,historical_density_minus_random,mae,15,3,year-fold,12.828210348179455,17.808777790241205,4.980567442061745,4.835263497083236,4.549525440670996,5.4001100156531665,3.9098966020255546,6.131048642638264,0,15,38.88921638334704
whole_spatial_blocks,5000,historical_density_minus_random,median_absolute_error,15,3,year-fold,8.294726588177795,10.381721709564175,2.0869951213863818,2.1384514832774855,1.9464359050585034,2.219574416909249,1.4676678301077821,2.554195431186372,0,15,25.141585547848806
whole_spatial_blocks,5000,historical_density_minus_random,p95_absolute_error,15,3,year-fold,36.58843904153152,59.57091140468422,22.98247236315268,23.125371742066,19.05090916640007,25.983260136687026,15.564932880393243,31.460196284377304,0,15,63.27275404127527
whole_spatial_blocks,5000,historical_density_minus_random,p99_absolute_error,15,3,year-fold,80.3672410979976,128.3094454819552,47.94220438395758,42.46738628233928,37.2230068825074,58.85538338746669,31.884439902045216,67.69991319659447,0,15,62.12087384782006
whole_spatial_blocks,5000,historical_density_minus_random,rmse,15,3,year-fold,27.54923606734805,36.48564660554782,8.936410538199762,8.761365837980733,8.180828700652043,9.548322259073204,7.170700060717678,12.586638648574045,0,15,33.54620371301869
whole_spatial_blocks,5000,spatial_coverage_minus_random,bias,15,3,year-fold,0.10350693529749053,0.2555422442556898,0.15203530895819922,0.3201369448586899,-0.4289678331169411,0.5574358114495579,-0.6565257409427396,1.0165657830428871,6,9,
whole_spatial_blocks,5000,spatial_coverage_minus_random,mae,15,3,year-fold,12.828210348179455,13.460365807626392,0.6321554594469352,0.5501334104584625,0.3832112470503768,0.8154041846878641,0.1595350675932128,1.3794024249595065,0,15,4.943032699118986
whole_spatial_blocks,5000,spatial_coverage_minus_random,median_absolute_error,15,3,year-fold,8.294726588177795,8.958215243331306,0.6634886551535109,0.6263806320141043,0.508848456170135,0.7751251567529929,0.40908149850429254,1.0687892723772503,0,15,8.027250689029923
whole_spatial_blocks,5000,spatial_coverage_minus_random,p95_absolute_error,15,3,year-fold,36.58843904153152,37.845851580444915,1.2574125389133897,1.2732784441682838,0.6009832086208284,1.6351325414216014,-0.023459794915503096,3.054516994646036,1,14,3.435107179012394
whole_spatial_blocks,5000,spatial_coverage_minus_random,p99_absolute_error,15,3,year-fold,80.3672410979976,76.77684955976784,-3.5903915382297895,-1.0023317783598316,-11.1062101325262,2.2067852228358475,-16.787720724093774,6.294130936597966,9,6,-3.4652578397172076
whole_spatial_blocks,5000,spatial_coverage_minus_random,rmse,15,3,year-fold,27.54923606734805,27.72804951485593,0.17881344750787775,-0.32087018519084864,-0.9395976242088082,1.3681687011658532,-2.4961997865153194,2.922345039572093,8,7,1.2365705392791155
