validation_scheme,year,spatial_fold,budget,comparison,metric,n_seeds,random_value,comparator_value,mean_difference,sd_seed_difference,seed_fraction_below_zero
whole_spatial_blocks,2014,0.0,5000,historical_spatial_month_balanced_minus_random,median_absolute_error,20,8.725240623377974,10.343716763782874,1.6184761404048984,0.393193541902279,0.0
whole_spatial_blocks,2014,0.0,5000,historical_spatial_month_balanced_minus_random,p95_absolute_error,20,38.104893493730124,53.435670439147394,15.330776945417279,3.3074557063584353,0.0
whole_spatial_blocks,2014,0.0,5000,historical_spatial_month_balanced_minus_random,p99_absolute_error,20,91.74352403839569,138.64151006145266,46.89798602305697,17.829928018141818,0.0
whole_spatial_blocks,2014,0.0,5000,historical_spatial_month_balanced_minus_random,rmse,20,26.73875685010181,33.75375754111059,7.01500069100878,1.957490696448122,0.0
whole_spatial_blocks,2014,1.0,5000,historical_spatial_month_balanced_minus_random,bias,20,1.186351281795048,-0.7347785257584057,-1.9211298075534535,0.983788651801648,1.0
whole_spatial_blocks,2014,1.0,5000,historical_spatial_month_balanced_minus_random,mae,20,12.138578113523817,15.284476627643581,3.1458985141197653,0.7141366992986438,0.0
whole_spatial_blocks,2014,1.0,5000,historical_spatial_month_balanced_minus_random,median_absolute_error,20,8.049073851188703,9.95833981525152,1.9092659640628171,0.2930513388889937,0.0
whole_spatial_blocks,2014,1.0,5000,historical_spatial_month_balanced_minus_random,p95_absolute_error,20,35.79387922076087,45.527919768837876,9.734040548077008,3.748374564008176,0.0
whole_spatial_blocks,2014,1.0,5000,historical_spatial_month_balanced_minus_random,p99_absolute_error,20,79.24525657767887,96.14571899484889,16.90046241717002,19.322488877947308,0.2
whole_spatial_blocks,2014,1.0,5000,historical_spatial_month_balanced_minus_random,rmse,20,20.285300872628586,26.114939436298478,5.829638563669894,2.0524928032662983,0.0
whole_spatial_blocks,2014,2.0,5000,historical_spatial_month_balanced_minus_random,bias,20,-0.363121524030914,-3.6424779329488004,-3.2793564089178857,1.6893963058596375,1.0
whole_spatial_blocks,2014,2.0,5000,historical_spatial_month_balanced_minus_random,mae,20,14.111092165057963,18.633809698350532,4.522717533292569,1.0391194140310498,0.0
whole_spatial_blocks,2014,2.0,5000,historical_spatial_month_balanced_minus_random,median_absolute_error,20,8.891454408249427,10.791145682023645,1.8996912737742186,0.3392877762277445,0.0
whole_spatial_blocks,2014,2.0,5000,historical_spatial_month_balanced_minus_random,p95_absolute_error,20,41.13240590004219,62.15436159725484,21.021955697212658,7.602705605144483,0.0
whole_spatial_blocks,2014,2.0,5000,historical_spatial_month_balanced_minus_random,p99_absolute_error,20,93.96473740195543,132.42153712243925,38.456799720483815,17.07390322439848,0.05
whole_spatial_blocks,2014,2.0,5000,historical_spatial_month_balanced_minus_random,rmse,20,29.21702995246452,36.34347742991387,7.126447477449345,1.9196802920326839,0.0
whole_spatial_blocks,2014,3.0,5000,historical_spatial_month_balanced_minus_random,bias,20,-0.7067640251581698,-5.4151556986873555,-4.708391673529186,0.8976916184749709,1.0
whole_spatial_blocks,2014,3.0,5000,historical_spatial_month_balanced_minus_random,mae,20,12.01972488333403,16.79533275497672,4.775607871642693,0.699415092406805,0.0
whole_spatial_blocks,2014,3.0,5000,historical_spatial_month_balanced_minus_random,median_absolute_error,20,8.135578722191806,9.819536576676194,1.683957854484388,0.3254700057098253,0.0
whole_spatial_blocks,2014,3.0,5000,historical_spatial_month_balanced_minus_random,p95_absolute_error,20,34.353842504926305,56.13446955083457,21.78062704590826,4.061917371716706,0.0
whole_spatial_blocks,2014,3.0,5000,historical_spatial_month_balanced_minus_random,p99_absolute_error,20,60.59119523652198,109.1410947817969,48.549899545274904,18.049745733952175,0.0
whole_spatial_blocks,2014,3.0,5000,historical_spatial_month_balanced_minus_random,rmse,20,24.914871261853698,35.474917652934884,10.560046391081189,1.430502669872859,0.0
whole_spatial_blocks,2014,4.0,5000,historical_spatial_month_balanced_minus_random,bias,20,-0.7576110079727495,-5.299716082002642,-4.542105074029893,1.0376152209838092,1.0
whole_spatial_blocks,2014,4.0,5000,historical_spatial_month_balanced_minus_random,mae,20,12.885207770634523,16.743210010843303,3.85800224020878,0.7092495874086029,0.0
