year,spatial_fold,strategy,budget,seed,month,selected_count,selected_fraction,candidate_fraction,equal_month_fraction
2005,2,spatial_coverage,1000,18,10,77,0.077,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,1000,18,11,81,0.081,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,1000,18,12,77,0.077,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,5000,18,1,408,0.0816,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,5000,18,2,421,0.0842,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,5000,18,3,435,0.087,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,5000,18,4,417,0.0834,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,5000,18,5,431,0.0862,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,5000,18,6,413,0.0826,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,5000,18,7,397,0.0794,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,5000,18,8,439,0.0878,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,5000,18,9,403,0.0806,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,5000,18,10,400,0.08,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,5000,18,11,423,0.0846,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,5000,18,12,413,0.0826,0.08333333333333333,0.08333333333333333
2005,2,random,1000,19,1,90,0.09,0.08333333333333333,0.08333333333333333
2005,2,random,1000,19,2,86,0.086,0.08333333333333333,0.08333333333333333
2005,2,random,1000,19,3,88,0.088,0.08333333333333333,0.08333333333333333
2005,2,random,1000,19,4,87,0.087,0.08333333333333333,0.08333333333333333
2005,2,random,1000,19,5,82,0.082,0.08333333333333333,0.08333333333333333
2005,2,random,1000,19,6,88,0.088,0.08333333333333333,0.08333333333333333
2005,2,random,1000,19,7,71,0.071,0.08333333333333333,0.08333333333333333
2005,2,random,1000,19,8,73,0.073,0.08333333333333333,0.08333333333333333
2005,2,random,1000,19,9,96,0.096,0.08333333333333333,0.08333333333333333
2005,2,random,1000,19,10,83,0.083,0.08333333333333333,0.08333333333333333
2005,2,random,1000,19,11,88,0.088,0.08333333333333333,0.08333333333333333
2005,2,random,1000,19,12,68,0.068,0.08333333333333333,0.08333333333333333
2005,2,random,5000,19,1,410,0.082,0.08333333333333333,0.08333333333333333
2005,2,random,5000,19,2,416,0.0832,0.08333333333333333,0.08333333333333333
2005,2,random,5000,19,3,454,0.0908,0.08333333333333333,0.08333333333333333
2005,2,random,5000,19,4,395,0.079,0.08333333333333333,0.08333333333333333
2005,2,random,5000,19,5,428,0.0856,0.08333333333333333,0.08333333333333333
2005,2,random,5000,19,6,427,0.0854,0.08333333333333333,0.08333333333333333
2005,2,random,5000,19,7,445,0.089,0.08333333333333333,0.08333333333333333
2005,2,random,5000,19,8,413,0.0826,0.08333333333333333,0.08333333333333333
2005,2,random,5000,19,9,449,0.0898,0.08333333333333333,0.08333333333333333
2005,2,random,5000,19,10,396,0.0792,0.08333333333333333,0.08333333333333333
2005,2,random,5000,19,11,400,0.08,0.08333333333333333,0.08333333333333333
2005,2,random,5000,19,12,367,0.0734,0.08333333333333333,0.08333333333333333
2005,2,historical_density,1000,19,1,89,0.089,0.08333333333333333,0.08333333333333333
2005,2,historical_density,1000,19,2,74,0.074,0.08333333333333333,0.08333333333333333
2005,2,historical_density,1000,19,3,85,0.085,0.08333333333333333,0.08333333333333333
2005,2,historical_density,1000,19,4,55,0.055,0.08333333333333333,0.08333333333333333
