validation_scheme,year,spatial_fold,budget,comparison,metric,n_seeds,random_mean,comparator_mean,difference,relative_error_change_percent
month_stratified_hidden_cells,2014,,1000,spatial_coverage_minus_random,p99_absolute_error,20,89.53240954944492,86.75945924145624,-2.7729503079886797,-3.097146968280015
month_stratified_hidden_cells,2014,,1000,spatial_coverage_minus_random,bias,20,0.39091531823611814,0.31672096825003326,-0.07419434998608487,
month_stratified_hidden_cells,2014,,2500,historical_density_minus_random,rmse,20,25.608665792603368,35.99172636154853,10.383060568945162,40.5451055241782
month_stratified_hidden_cells,2014,,2500,historical_density_minus_random,mae,20,12.161355215441688,18.025909553680776,5.864554338239088,48.22286854011684
month_stratified_hidden_cells,2014,,2500,historical_density_minus_random,median_absolute_error,20,7.817575198728162,10.288083654440864,2.470508455712703,31.601978783838614
month_stratified_hidden_cells,2014,,2500,historical_density_minus_random,p95_absolute_error,20,35.379408943362165,63.33243627951256,27.95302733615039,79.00931126605182
month_stratified_hidden_cells,2014,,2500,historical_density_minus_random,p99_absolute_error,20,75.30136685061456,135.19415886703382,59.892792016419264,79.53745665100162
month_stratified_hidden_cells,2014,,2500,historical_density_minus_random,bias,20,0.26321136119752203,-4.922283170875332,-5.185494532072854,
month_stratified_hidden_cells,2014,,2500,spatial_coverage_minus_random,rmse,20,25.608665792603368,24.706631149003414,-0.9020346435999542,-3.522380474270908
month_stratified_hidden_cells,2014,,2500,spatial_coverage_minus_random,mae,20,12.161355215441688,12.507804046335036,0.34644883089334755,2.8487682890262893
month_stratified_hidden_cells,2014,,2500,spatial_coverage_minus_random,median_absolute_error,20,7.817575198728162,8.413737299392547,0.5961621006643858,7.625920896307786
month_stratified_hidden_cells,2014,,2500,spatial_coverage_minus_random,p95_absolute_error,20,35.379408943362165,36.04656351418173,0.6671545708195623,1.8857142918571366
month_stratified_hidden_cells,2014,,2500,spatial_coverage_minus_random,p99_absolute_error,20,75.30136685061456,69.30680458518115,-5.994562265433402,-7.96076155871861
month_stratified_hidden_cells,2014,,2500,spatial_coverage_minus_random,bias,20,0.26321136119752203,0.20883166432045658,-0.05437969687706545,
month_stratified_hidden_cells,2014,,5000,historical_density_minus_random,rmse,20,23.705525385476705,34.392152426824495,10.68662704134779,45.08074327639665
month_stratified_hidden_cells,2014,,5000,historical_density_minus_random,mae,20,10.985996004771057,16.643840260428476,5.6578442556574196,51.50051259075919
month_stratified_hidden_cells,2014,,5000,historical_density_minus_random,median_absolute_error,20,7.221888598277431,9.326346103376837,2.104457505099406,29.139988473394098
month_stratified_hidden_cells,2014,,5000,historical_density_minus_random,p95_absolute_error,20,31.211136603154955,58.08022740262519,26.869090799470236,86.08815225509665
month_stratified_hidden_cells,2014,,5000,historical_density_minus_random,p99_absolute_error,20,65.35219381398768,127.86471070102849,62.5125168870408,95.65481009707268
month_stratified_hidden_cells,2014,,5000,historical_density_minus_random,bias,20,0.10055865094777712,-5.1833192898547225,-5.283877940802499,
month_stratified_hidden_cells,2014,,5000,spatial_coverage_minus_random,rmse,20,23.705525385476705,22.957004173312225,-0.74852121216448,-3.157581196757887
month_stratified_hidden_cells,2014,,5000,spatial_coverage_minus_random,mae,20,10.985996004771057,11.433659398636907,0.4476633938658505,4.074854875893245
month_stratified_hidden_cells,2014,,5000,spatial_coverage_minus_random,median_absolute_error,20,7.221888598277431,7.838065568910951,0.6161769706335196,8.532075263255798
month_stratified_hidden_cells,2014,,5000,spatial_coverage_minus_random,p95_absolute_error,20,31.211136603154955,32.225165529280304,1.0140289261253486,3.2489330299584354
month_stratified_hidden_cells,2014,,5000,spatial_coverage_minus_random,p99_absolute_error,20,65.35219381398768,61.09907909066847,-4.253114723319214,-6.507990742322865
month_stratified_hidden_cells,2014,,5000,spatial_coverage_minus_random,bias,20,0.10055865094777712,0.03571116574333835,-0.06484748520443877,
