latitude,longitude,delta_mae_uatm
-72.5,-106.5,1.9701511738968733
-72.5,-105.5,16.876844664052513
-72.5,-104.5,6.219313574550872
-72.5,-103.5,4.08517625828585
-72.5,-102.5,
-72.5,-95.5,1.365131745445848
-72.5,-94.5,-10.491411192281834
-72.5,-93.5,-12.568268427211581
-72.5,-92.5,-6.204575758052709
-72.5,-91.5,-12.284624546752767
-72.5,-90.5,-7.338070897772443
-72.5,-89.5,0.9643748983453726
-72.5,-88.5,-5.650304789714088
-72.5,-87.5,-4.268849137899309
-72.5,-86.5,-4.478370170108597
-72.5,-85.5,7.20419285399452
-72.5,-84.5,24.510633135106843
-72.5,-83.5,10.972942682461472
-72.5,-82.5,12.876809745551608
-72.5,-81.5,2.6300965154032454
-72.5,-80.5,-6.503690942933179
-72.5,-79.5,-16.270484859013514
-72.5,-78.5,-7.839725463830533
-72.5,-77.5,-11.989972055757512
-72.5,-76.5,-7.053357715007479
-72.5,-75.5,12.665557542664018
-72.5,-74.5,2.473565685108852
-72.5,-73.5,-17.114665454809185
-72.5,-72.5,21.61157593168131
-72.5,-59.5,3.1124114126072087
-72.5,-58.5,6.826068946849425
-72.5,-57.5,39.05993765993302
-72.5,-56.5,6.1081721507384845
-72.5,-55.5,15.571351289799011
-72.5,-54.5,6.40817721279506
-72.5,-53.5,10.336286006629791
-72.5,-52.5,18.960462399977338
-72.5,-51.5,18.407550090723326
-72.5,-50.5,3.262441474037848
-72.5,-49.5,12.944567859145248
-72.5,-48.5,14.70902407354836
-72.5,-47.5,-0.8560409061148198
-72.5,-46.5,21.737961093421987
-72.5,-45.5,12.015761444530977
-72.5,-44.5,-1.185921451355199
-72.5,-43.5,5.46427062612592
-72.5,-42.5,16.244883980472885
-72.5,-41.5,
-72.5,-40.5,13.560640609044267
-72.5,-39.5,7.042997563973588
-72.5,-38.5,10.045414507650097
-72.5,-37.5,10.87460628287117
-72.5,-36.5,
-72.5,-35.5,6.868244905732054
-72.5,-34.5,7.670316715945541
-72.5,-33.5,5.5692860357541765
-72.5,-32.5,12.314218002998732
-72.5,-31.5,6.529731837810541
-72.5,-30.5,0.10202313773771365
-72.5,-29.5,15.745164321128913
-72.5,-28.5,0.8235289498182077
-72.5,-27.5,6.344077288038953
-72.5,-26.5,3.5612694394348523
-72.5,-25.5,14.120725160187968
-72.5,-24.5,3.809080084476644
-72.5,-23.5,
-72.5,-22.5,5.0696524171166715
-72.5,-21.5,7.763498834640092
-72.5,-20.5,-3.875441727722176
-72.5,-19.5,0.7722953118321598
-72.5,-18.5,14.078193500717173
-72.5,-17.5,12.42561949708762
-72.5,-16.5,16.850884287321215
-72.5,-15.5,7.064686999859159
-72.5,170.5,-11.29656588622588
-72.5,171.5,4.409052808954978
-72.5,172.5,-6.528106133886249
-72.5,173.5,-7.29250341022383
-72.5,174.5,-7.792404380790806
-72.5,175.5,-1.6324582891639388
-72.5,176.5,-8.202451855042113
-72.5,177.5,-4.482763950982427
-72.5,178.5,2.0789085136173266
-72.5,179.5,11.40111962185293
-71.5,-179.5,10.812392374168628
-71.5,-178.5,0.46477118194292544
-71.5,-177.5,4.33783414868365
-71.5,-176.5,-1.862915887600451
-71.5,-175.5,8.377316275743969
-71.5,-174.5,6.051781931728893
-71.5,-173.5,-0.7308985862633328
-71.5,-172.5,7.779073328460886
-71.5,-171.5,4.508692735398732
-71.5,-170.5,0.18073282535677127
-71.5,-169.5,-0.6547340145163947
-71.5,-168.5,2.9740704102985163
-71.5,-167.5,0.06463859981696451
-71.5,-166.5,-4.8166358813072545
-71.5,-165.5,-1.4161780933763755
-71.5,-164.5,-6.210343494493694
-71.5,-163.5,-7.88377017906814
-71.5,-162.5,0.5529246451657261
-71.5,-161.5,4.246060830277665
-71.5,-160.5,-3.0656209038626248
-71.5,-159.5,8.15894868135689
-71.5,-158.5,-0.9717892045218228
-71.5,-157.5,1.6235723657543772
-71.5,-156.5,2.5901074376085695
-71.5,-155.5,
-71.5,-154.5,2.4534353206098025
-71.5,-153.5,2.787854326561643
-71.5,-152.5,1.3001534974974014
-71.5,-151.5,7.531637402086524
-71.5,-150.5,-0.07517882407021048
-71.5,-149.5,0.80234610304284
-71.5,-148.5,10.270026669226866
-71.5,-147.5,4.990444079119541
-71.5,-146.5,-0.31590779155088455
-71.5,-145.5,15.293499931889407
-71.5,-144.5,5.021498202754287
-71.5,-143.5,15.721070257079127
-71.5,-142.5,6.464727399784575
-71.5,-141.5,5.682399928367758
-71.5,-140.5,14.221328378989067
-71.5,-139.5,2.277250445297634
-71.5,-138.5,5.18978398737681
-71.5,-137.5,2.66103859231473
-71.5,-136.5,2.2929551016057843
-71.5,-135.5,1.5374783182909741
-71.5,-134.5,6.583249125047674
-71.5,-133.5,2.9534353227202823
-71.5,-132.5,3.2831452466009683
-71.5,-131.5,1.9093337918556603
-71.5,-130.5,
-71.5,-129.5,3.819362036333544
-71.5,-128.5,2.1269871835714316
-71.5,-127.5,2.795917521249711
-71.5,-126.5,5.334483162211598
-71.5,-125.5,1.0915532040501876
-71.5,-124.5,-10.791493187058002
-71.5,-123.5,-2.7436428977306466
-71.5,-122.5,0.8589717464451834
-71.5,-121.5,2.681684884455457
-71.5,-120.5,-1.4996826829381735
-71.5,-119.5,
-71.5,-118.5,19.861902762187263
-71.5,-117.5,9.63214875786457
-71.5,-116.5,10.901142014706556
-71.5,-115.5,10.446229543256806
-71.5,-114.5,9.55087089823236
-71.5,-113.5,26.78248193622054
-71.5,-112.5,
-71.5,-111.5,4.685264712822512
-71.5,-110.5,9.151606010037142
-71.5,-109.5,13.758586787585884
-71.5,-108.5,12.69402162157825
-71.5,-107.5,2.2017915794514202
-71.5,-106.5,16.371977707339607
-71.5,-105.5,
-71.5,-104.5,6.9364630350363345
-71.5,-103.5,
-71.5,-102.5,8.418993530770791
-71.5,-101.5,9.694104513736995
-71.5,-100.5,-3.111453971577186
-71.5,-99.5,-3.2902187608143603
-71.5,-98.5,1.1939385168986227
-71.5,-97.5,7.422305947434008
-71.5,-96.5,1.736221538261491
-71.5,-95.5,-18.19544180403471
-71.5,-94.5,-8.040729502322337
-71.5,-93.5,-4.132836797761666
-71.5,-92.5,-4.899341397635823
-71.5,-91.5,-3.212634940234068
-71.5,-90.5,-3.0018156837626258
-71.5,-89.5,-1.9135985030151765
-71.5,-88.5,-15.055520507420338
-71.5,-87.5,1.5163468595059406
-71.5,-86.5,-8.826701645416726
-71.5,-85.5,5.440634339125207
-71.5,-84.5,23.453903135842186
-71.5,-83.5,12.874822724849118
-71.5,-82.5,-2.7517341912905238
-71.5,-81.5,26.30173581085035
-71.5,-80.5,-7.468626807172839
-71.5,-79.5,2.823613717433483
-71.5,-78.5,
-71.5,-77.5,9.717516484591318
-71.5,-76.5,-5.601140495034517
