latitude,longitude,delta_mae_uatm
-73.5,-23.5,6.719713309754166
-73.5,-22.5,7.930196302922202
-73.5,-21.5,8.399112419987823
-73.5,-20.5,2.7574657530010214
-73.5,166.5,7.474850185435933
-73.5,167.5,-4.759680825585534
-73.5,168.5,-12.976483357078024
-73.5,169.5,
-73.5,170.5,-5.486294097194781
-73.5,171.5,-5.565296099668352
-73.5,172.5,-8.699250515764591
-73.5,173.5,16.06165626606542
-73.5,174.5,15.251535477618237
-73.5,175.5,-0.5926731213440561
-73.5,176.5,-14.516242277647976
-73.5,177.5,-11.688425948797946
-73.5,178.5,-3.865258860409366
-73.5,179.5,6.478687451139836
-72.5,-179.5,-3.729845511231739
-72.5,-178.5,-1.7149600423417795
-72.5,-177.5,5.633845027433146
-72.5,-176.5,-5.919858091625031
-72.5,-175.5,6.666930774606002
-72.5,-174.5,-10.566297109148813
-72.5,-173.5,1.320856446947614
-72.5,-172.5,-5.800903944056206
-72.5,-171.5,
-72.5,-170.5,-1.2975098993358722
-72.5,-169.5,2.377464842550161
-72.5,-168.5,0.6713219350576978
-72.5,-167.5,-1.5514305981356564
-72.5,-166.5,-1.6805093734368413
-72.5,-165.5,-0.9145539114042425
-72.5,-164.5,0.6928264558104065
-72.5,-163.5,-1.9274411018068793
-72.5,-162.5,-3.132258358773276
-72.5,-161.5,4.637761499666492
-72.5,-160.5,
-72.5,-159.5,1.550425889475365
-72.5,-158.5,4.537078084718365
-72.5,-157.5,8.400093058360328
-72.5,-156.5,-2.717051407370249
-72.5,-155.5,-0.9542686692484228
-72.5,-154.5,-0.715458413212434
-72.5,-153.5,0.72961010043859
-72.5,-152.5,
-72.5,-151.5,-1.219052002133779
-72.5,-150.5,3.6161318003837586
-72.5,-149.5,-4.09114358569291
-72.5,-148.5,6.0281144174348
-72.5,-147.5,-0.32391213961607335
-72.5,-146.5,-1.4258428948014021
-72.5,-145.5,3.5049902603982677
-72.5,-144.5,7.570335666631447
-72.5,-143.5,
-72.5,-142.5,6.301990114028649
-72.5,-141.5,1.662986580597578
-72.5,-140.5,4.9502184273953205
-72.5,-139.5,6.274093497987462
-72.5,-138.5,4.403089681870404
-72.5,-137.5,3.5056024064343063
-72.5,-136.5,0.3075366194053055
-72.5,-135.5,10.793217336344513
-72.5,-134.5,0.8524711924803388
-72.5,-133.5,1.9627729590635337
-72.5,-132.5,11.62483876683885
-72.5,-131.5,8.812543377750941
-72.5,-130.5,6.835778647264897
-72.5,-129.5,-1.9731249167342924
-72.5,-128.5,-3.3091093528057804
-72.5,-127.5,-4.922339013041141
-72.5,-126.5,-5.720588010862317
-72.5,-125.5,7.894608960034327
-72.5,-124.5,-9.194430899087136
-72.5,-123.5,12.936444572601054
-72.5,-122.5,22.127237799190095
-72.5,-121.5,-4.345835359820942
-72.5,-120.5,5.845921228239632
-72.5,-119.5,5.900307185028794
-72.5,-118.5,-7.67574813609896
-72.5,-117.5,-1.8338658909065444
-72.5,-116.5,11.829117197441242
-72.5,-115.5,6.319300150026592
-72.5,-114.5,3.847542107498512
-72.5,-113.5,8.80524433762055
-72.5,-112.5,-6.43580126249993
-72.5,-111.5,22.59020631013716
-72.5,-110.5,19.91819671334453
-72.5,-109.5,-0.3727836789497516
-72.5,-108.5,7.520577099279194
-72.5,-107.5,10.91961598355407
